parameter,from_value,to_value,candidate_index_left,candidate_index_right,logical_failure_left,logical_failure_right,logical_failure_delta,abs_logical_failure_delta,convergence_left,convergence_right,convergence_delta,abs_convergence_delta,mean_iterations_left,mean_iterations_right,fixed_fresh_negative,fixed_fresh_p_positive,fixed_previous_negative,fixed_previous_positive,fixed_previous_p_positive,fixed_fresh_positive
fresh_positive,0.7,0.85,488,569,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3106.333333333333,2080.4814814814813,0.0,0.9,-0.25,0.0,0.75,
previous_positive,0.1,0.25,5,8,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3116.25,2082.074074074074,-0.1,0.9,-0.25,,0.75,0.7
previous_p_positive,0.5,0.75,7,8,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3318.833333333333,2082.074074074074,-0.1,0.9,-0.25,0.25,,0.7
previous_negative,-0.25,-0.1,162,171,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3372.333333333333,2071.3703703703704,-0.1,0.9,,0.0,0.25,1.0
fresh_positive,0.7,0.85,19,100,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3393.5,1854.0,-0.1,0.9,0.0,0.0,0.5,
fresh_positive,0.7,0.85,7,88,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.5925925925925926,0.42592592592592593,0.42592592592592593,3318.833333333333,1768.7407407407406,-0.1,0.9,-0.25,0.25,0.5,
fresh_p_positive,0.9,0.97,498,525,0.8333333333333334,0.3846153846153846,-0.4487179487179488,0.4487179487179488,0.1666666666666666,0.5384615384615384,0.3717948717948718,0.3717948717948718,3285.4166666666665,2086.230769230769,0.0,,-0.1,0.1,0.25,0.7
fresh_p_positive,0.9,0.97,6,33,1.0,0.5555555555555556,-0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,3680.0,2387.333333333333,-0.1,,-0.25,0.25,0.25,0.7
fresh_positive,0.7,0.85,244,325,1.0,0.5555555555555556,-0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,3680.0,2488.3888888888887,-0.02,0.9,-0.25,0.0,0.5,
previous_p_positive,0.25,0.5,249,250,1.0,0.5555555555555556,-0.4444444444444444,0.4444444444444444,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,3680.0,2774.333333333333,-0.02,0.9,-0.25,0.25,,0.7
previous_positive,0.0,0.1,29,32,0.6666666666666666,0.2272727272727272,-0.43939393939393945,0.43939393939393945,0.3333333333333333,0.75,0.4166666666666667,0.4166666666666667,2564.8,1396.5454545454545,-0.1,0.97,-0.25,,0.75,0.7
fresh_positive,0.7,0.85,28,109,0.6666666666666666,0.2272727272727272,-0.43939393939393945,0.43939393939393945,0.3333333333333333,0.75,0.4166666666666667,0.4166666666666667,2903.5333333333333,1331.3636363636365,-0.1,0.97,-0.25,0.0,0.5,
fresh_positive,0.7,0.85,543,624,0.8333333333333334,0.4,-0.43333333333333335,0.43333333333333335,0.1666666666666666,0.6,0.43333333333333335,0.43333333333333335,3081.1666666666665,1700.44,0.0,0.995,-0.25,0.1,0.25,
fresh_positive,0.7,0.85,11,92,0.8333333333333334,0.4,-0.43333333333333335,0.43333333333333335,0.1666666666666666,0.6,0.43333333333333335,0.43333333333333335,3366.6666666666665,2305.36,-0.1,0.9,-0.1,0.0,0.75,
fresh_positive,0.7,0.85,30,111,0.8333333333333334,0.4,-0.43333333333333335,0.43333333333333335,0.1666666666666666,0.6,0.43333333333333335,0.43333333333333335,3372.0,1976.84,-0.1,0.97,-0.25,0.1,0.25,
previous_negative,-0.25,-0.1,30,39,0.8333333333333334,0.4,-0.43333333333333335,0.43333333333333335,0.1666666666666666,0.6,0.43333333333333335,0.43333333333333335,3372.0,2061.96,-0.1,0.97,,0.1,0.25,0.7
previous_positive,0.0,0.1,55,58,0.8333333333333334,0.4,-0.43333333333333335,0.43333333333333335,0.1666666666666666,0.56,0.3933333333333334,0.3933333333333334,3161.583333333333,2167.08,-0.1,0.995,-0.25,,0.5,0.7
previous_positive,0.0,0.1,245,248,0.9090909090909092,0.4761904761904761,-0.43290043290043306,0.43290043290043306,0.0909090909090909,0.5238095238095238,0.43290043290043295,0.43290043290043295,3353.6363636363635,2340.2380952380954,-0.02,0.9,-0.25,,0.75,0.7
fresh_p_positive,0.9,0.97,4,31,0.9090909090909092,0.4761904761904761,-0.43290043290043306,0.43290043290043306,0.0909090909090909,0.5238095238095238,0.43290043290043295,0.43290043290043295,3523.090909090909,2171.0476190476197,-0.1,,-0.25,0.1,0.5,0.7
fresh_positive,0.7,0.85,9,90,0.9090909090909092,0.4761904761904761,-0.43290043290043306,0.43290043290043306,0.0909090909090909,0.4761904761904761,0.3852813852813852,0.3852813852813852,3364.3636363636365,2568.714285714286,-0.1,0.9,-0.1,0.0,0.25,
fresh_positive,0.7,0.85,492,573,0.9090909090909092,0.4761904761904761,-0.43290043290043306,0.43290043290043306,0.0909090909090909,0.4761904761904761,0.3852813852813852,0.3852813852813852,3441.7272727272725,2683.809523809524,0.0,0.9,-0.25,0.25,0.25,
previous_negative,-0.25,-0.1,81,90,0.9090909090909092,0.4761904761904761,-0.43290043290043306,0.43290043290043306,0.0909090909090909,0.4761904761904761,0.3852813852813852,0.3852813852813852,3474.0,2568.714285714286,-0.1,0.9,,0.0,0.25,0.85
previous_p_positive,0.25,0.5,546,547,0.625,0.196078431372549,-0.428921568627451,0.428921568627451,0.375,0.803921568627451,0.428921568627451,0.428921568627451,2654.3125,1278.7843137254902,0.0,0.995,-0.25,0.25,,0.7
fresh_p_positive,0.9,0.97,21,48,0.7142857142857143,0.2941176470588235,-0.4201680672268908,0.4201680672268908,0.2857142857142857,0.6470588235294118,0.3613445378151261,0.3613445378151261,2905.5,1674.9411764705883,-0.1,,0.0,0.1,0.25,0.7
previous_negative,-0.25,-0.1,546,555,0.625,0.2083333333333333,-0.41666666666666674,0.41666666666666674,0.375,0.7708333333333334,0.39583333333333337,0.39583333333333337,2654.3125,1378.2291666666667,0.0,0.995,,0.25,0.25,0.7
previous_p_positive,0.25,0.5,543,544,0.8333333333333334,0.4166666666666667,-0.4166666666666667,0.4166666666666667,0.1666666666666666,0.5833333333333334,0.41666666666666674,0.41666666666666674,3081.1666666666665,2065.6666666666665,0.0,0.995,-0.25,0.1,,0.7
fresh_p_positive,0.9,0.97,247,274,0.8333333333333334,0.4166666666666667,-0.4166666666666667,0.4166666666666667,0.1666666666666666,0.5416666666666666,0.375,0.375,3245.25,2300.0,-0.02,,-0.25,0.1,0.5,0.7
previous_p_positive,0.25,0.5,273,274,0.8333333333333334,0.4166666666666667,-0.4166666666666667,0.4166666666666667,0.1666666666666666,0.5416666666666666,0.375,0.375,3268.833333333333,2300.0,-0.02,0.97,-0.25,0.1,,0.7
previous_p_positive,0.5,0.75,55,56,0.8333333333333334,0.4166666666666667,-0.4166666666666667,0.4166666666666667,0.1666666666666666,0.4583333333333333,0.29166666666666674,0.29166666666666674,3161.583333333333,2425.75,-0.1,0.995,-0.25,0.0,,0.7
fresh_positive,0.7,0.85,504,585,0.6666666666666666,0.25,-0.41666666666666663,0.41666666666666663,0.3333333333333333,0.725,0.39166666666666666,0.39166666666666666,2761.733333333333,1401.175,0.0,0.9,0.0,0.0,0.25,
fresh_positive,0.7,0.85,297,378,0.9090909090909092,0.5,-0.40909090909090917,0.40909090909090917,0.0909090909090909,0.5,0.4090909090909091,0.4090909090909091,3354.090909090909,2254.05,-0.02,0.995,-0.25,0.0,0.25,
fresh_p_positive,0.9,0.97,492,519,0.9090909090909092,0.5,-0.40909090909090917,0.40909090909090917,0.0909090909090909,0.5,0.4090909090909091,0.4090909090909091,3441.7272727272725,2304.65,0.0,,-0.25,0.25,0.25,0.7
previous_p_positive,0.25,0.5,492,493,0.9090909090909092,0.5,-0.40909090909090917,0.40909090909090917,0.0909090909090909,0.5,0.4090909090909091,0.4090909090909091,3441.7272727272725,2446.5,0.0,0.9,-0.25,0.25,,0.7
previous_p_positive,0.5,0.75,13,14,0.9090909090909092,0.5,-0.40909090909090917,0.40909090909090917,0.0909090909090909,0.5,0.4090909090909091,0.4090909090909091,3447.0,2508.05,-0.1,0.9,-0.1,0.1,,0.7
fresh_positive,0.7,0.85,63,144,0.625,0.217391304347826,-0.407608695652174,0.407608695652174,0.25,0.7608695652173914,0.5108695652173914,0.5108695652173914,2822.875,1147.3695652173913,-0.1,0.995,-0.1,0.0,0.25,
fresh_positive,0.7,0.85,496,577,0.6666666666666666,0.2631578947368421,-0.40350877192982454,0.40350877192982454,0.3333333333333333,0.7368421052631579,0.40350877192982454,0.40350877192982454,2728.0666666666666,1544.157894736842,0.0,0.9,-0.1,0.0,0.5,
fresh_positive,0.7,0.85,306,387,0.625,0.2222222222222222,-0.4027777777777778,0.4027777777777778,0.3125,0.7777777777777778,0.4652777777777778,0.4652777777777778,2781.6875,963.6666666666666,-0.02,0.995,-0.1,0.0,0.25,
fresh_positive,0.7,0.85,546,627,0.625,0.2222222222222222,-0.4027777777777778,0.4027777777777778,0.375,0.7777777777777778,0.4027777777777778,0.4027777777777778,2654.3125,1201.4666666666667,0.0,0.995,-0.25,0.25,0.25,
fresh_positive,0.7,0.85,501,582,0.625,0.2222222222222222,-0.4027777777777778,0.4027777777777778,0.375,0.7777777777777778,0.4027777777777778,0.4027777777777778,2730.3125,1467.8444444444444,0.0,0.9,-0.1,0.25,0.25,
previous_p_positive,0.25,0.5,276,277,0.625,0.2222222222222222,-0.4027777777777778,0.4027777777777778,0.375,0.7555555555555555,0.38055555555555554,0.38055555555555554,3079.8125,1433.3111111111111,-0.02,0.97,-0.25,0.25,,0.7
fresh_p_positive,0.9,0.97,501,528,0.625,0.2222222222222222,-0.4027777777777778,0.4027777777777778,0.375,0.7333333333333333,0.3583333333333333,0.3583333333333333,2730.3125,1580.3555555555556,0.0,,-0.1,0.25,0.25,0.7
previous_negative,-0.25,-0.1,324,333,0.7692307692307693,0.3703703703703703,-0.398860398860399,0.398860398860399,0.2307692307692307,0.6296296296296297,0.3988603988603989,0.3988603988603989,3129.769230769231,1905.6666666666667,-0.02,0.9,,0.0,0.25,0.85
fresh_positive,0.7,0.85,255,336,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.0833333333333333,0.5652173913043478,0.48188405797101447,0.48188405797101447,3620.75,1797.0,-0.02,0.9,-0.1,0.1,0.25,
fresh_positive,0.7,0.85,273,354,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.1666666666666666,0.5652173913043478,0.39855072463768115,0.39855072463768115,3268.833333333333,1886.5652173913045,-0.02,0.97,-0.25,0.1,0.25,
fresh_positive,0.7,0.85,513,594,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.1666666666666666,0.5652173913043478,0.39855072463768115,0.39855072463768115,3268.833333333333,2116.086956521739,0.0,0.97,-0.25,0.0,0.25,
fresh_positive,0.7,0.85,487,568,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.1666666666666666,0.5652173913043478,0.39855072463768115,0.39855072463768115,3362.1666666666665,2573.304347826087,0.0,0.9,-0.25,0.0,0.5,
fresh_positive,0.7,0.85,495,576,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.1666666666666666,0.5652173913043478,0.39855072463768115,0.39855072463768115,3363.4166666666665,1858.0869565217392,0.0,0.9,-0.1,0.0,0.25,
fresh_positive,0.7,0.85,5,86,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.1666666666666666,0.5217391304347826,0.35507246376811596,0.35507246376811596,3116.25,2181.826086956521,-0.1,0.9,-0.25,0.1,0.75,
fresh_p_positive,0.9,0.97,11,38,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.1666666666666666,0.5217391304347826,0.35507246376811596,0.35507246376811596,3366.6666666666665,2021.782608695652,-0.1,,-0.1,0.0,0.75,0.7
previous_negative,-0.25,-0.1,543,552,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.1666666666666666,0.4782608695652174,0.3115942028985508,0.3115942028985508,3081.1666666666665,2357.6521739130435,0.0,0.995,,0.1,0.25,0.7
previous_negative,-0.1,0.0,498,507,0.8333333333333334,0.4347826086956521,-0.39855072463768126,0.39855072463768126,0.1666666666666666,0.4782608695652174,0.3115942028985508,0.3115942028985508,3285.4166666666665,2469.5652173913045,0.0,0.9,,0.1,0.25,0.7
fresh_p_positive,0.9,0.97,82,109,0.625,0.2272727272727272,-0.3977272727272728,0.3977272727272728,0.375,0.75,0.375,0.375,3142.4375,1331.3636363636365,-0.1,,-0.25,0.0,0.5,0.85
fresh_p_positive,0.9,0.97,330,357,0.625,0.238095238095238,-0.386904761904762,0.386904761904762,0.375,0.7142857142857143,0.3392857142857143,0.3392857142857143,2671.625,1444.6190476190477,-0.02,,-0.25,0.25,0.25,0.85
fresh_positive,0.7,0.85,276,357,0.625,0.238095238095238,-0.386904761904762,0.386904761904762,0.375,0.7142857142857143,0.3392857142857143,0.3392857142857143,3079.8125,1444.6190476190477,-0.02,0.97,-0.25,0.25,0.25,
previous_p_positive,0.25,0.5,15,16,0.9090909090909092,0.5263157894736842,-0.382775119617225,0.382775119617225,0.0909090909090909,0.4736842105263157,0.3827751196172248,0.3827751196172248,3408.090909090909,2573.1052631578946,-0.1,0.9,-0.1,0.25,,0.7
previous_positive,0.1,0.25,13,16,0.9090909090909092,0.5263157894736842,-0.382775119617225,0.382775119617225,0.0909090909090909,0.4736842105263157,0.3827751196172248,0.3827751196172248,3447.0,2573.1052631578946,-0.1,0.9,-0.1,,0.5,0.7
fresh_positive,0.7,0.85,4,85,0.9090909090909092,0.5263157894736842,-0.382775119617225,0.382775119617225,0.0909090909090909,0.4736842105263157,0.3827751196172248,0.3827751196172248,3523.090909090909,2598.684210526316,-0.1,0.9,-0.25,0.1,0.5,
fresh_positive,0.7,0.85,261,342,0.7142857142857143,0.3333333333333333,-0.380952380952381,0.380952380952381,0.2857142857142857,0.6666666666666666,0.38095238095238093,0.38095238095238093,2917.214285714286,1736.2,-0.02,0.9,0.0,0.0,0.25,
fresh_p_positive,0.9,0.97,24,51,0.5882352941176471,0.2083333333333333,-0.3799019607843138,0.3799019607843138,0.2941176470588235,0.7916666666666666,0.49754901960784315,0.49754901960784315,2954.470588235294,1136.3541666666667,-0.1,,0.0,0.25,0.25,0.7
previous_negative,-0.25,-0.1,702,711,0.5882352941176471,0.2083333333333333,-0.3799019607843138,0.3799019607843138,0.4117647058823529,0.7916666666666666,0.3799019607843137,0.3799019607843137,2379.3529411764707,909.0208333333334,0.0,0.995,,0.0,0.25,1.0
fresh_positive,0.7,0.85,497,578,0.625,0.25,-0.375,0.375,0.25,0.75,0.5,0.5,3053.125,1365.8,0.0,0.9,-0.1,0.0,0.75,
fresh_p_positive,0.9,0.97,87,114,0.625,0.25,-0.375,0.375,0.3125,0.75,0.4375,0.4375,2722.3125,1362.975,-0.1,,-0.25,0.25,0.25,0.85
fresh_positive,0.7,0.85,541,622,0.625,0.25,-0.375,0.375,0.3125,0.75,0.4375,0.4375,2755.875,1281.525,0.0,0.995,-0.25,0.0,0.5,
previous_negative,-0.25,-0.1,570,579,0.625,0.25,-0.375,0.375,0.375,0.75,0.375,0.375,2562.5625,1423.85,0.0,0.9,,0.1,0.25,0.85
fresh_positive,0.7,0.85,254,335,0.625,0.25,-0.375,0.375,0.375,0.75,0.375,0.375,2630.0,1622.05,-0.02,0.9,-0.1,0.0,0.75,
fresh_positive,0.7,0.85,263,344,0.625,0.25,-0.375,0.375,0.375,0.75,0.375,0.375,2877.125,1300.725,-0.02,0.9,0.0,0.0,0.75,
fresh_positive,0.7,0.85,1,82,1.0,0.625,-0.375,0.375,0.0,0.375,0.375,0.375,3680.0,3142.4375,-0.1,0.9,-0.25,0.0,0.5,
fresh_positive,0.7,0.85,249,330,1.0,0.625,-0.375,0.375,0.0,0.375,0.375,0.375,3680.0,2671.625,-0.02,0.9,-0.25,0.25,0.25,
fresh_p_positive,0.9,0.97,249,276,1.0,0.625,-0.375,0.375,0.0,0.375,0.375,0.375,3680.0,3079.8125,-0.02,,-0.25,0.25,0.25,0.7
fresh_positive,0.7,0.85,6,87,1.0,0.625,-0.375,0.375,0.0,0.3125,0.3125,0.3125,3680.0,2722.3125,-0.1,0.9,-0.25,0.25,0.25,
fresh_p_positive,0.9,0.97,244,271,1.0,0.625,-0.375,0.375,0.0,0.3125,0.3125,0.3125,3680.0,2955.0,-0.02,,-0.25,0.0,0.5,0.7
fresh_positive,0.7,0.85,271,352,0.625,0.2631578947368421,-0.3618421052631579,0.3618421052631579,0.3125,0.7105263157894737,0.3980263157894737,0.3980263157894737,2955.0,1469.2105263157894,-0.02,0.97,-0.25,0.0,0.5,
fresh_p_positive,0.9,0.97,22,49,0.5555555555555556,0.196078431372549,-0.3594771241830066,0.3594771241830066,0.3888888888888889,0.7843137254901961,0.3954248366013072,0.3954248366013072,2896.6666666666665,1189.3333333333333,-0.1,,0.0,0.1,0.5,0.7
fresh_positive,0.7,0.85,272,353,0.5555555555555556,0.196078431372549,-0.3594771241830066,0.3594771241830066,0.4444444444444444,0.803921568627451,0.3594771241830066,0.3594771241830066,2407.6111111111118,1074.6666666666667,-0.02,0.97,-0.25,0.0,0.75,
fresh_negative,-0.1,-0.02,5,248,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3116.25,2340.2380952380954,,0.9,-0.25,0.1,0.75,0.7
fresh_positive,0.7,0.85,54,135,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3135.5,2130.714285714286,-0.1,0.995,-0.25,0.0,0.25,
fresh_positive,0.7,0.85,247,328,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3245.25,2230.714285714286,-0.02,0.9,-0.25,0.1,0.5,
previous_p_positive,0.5,0.75,247,248,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3245.25,2340.2380952380954,-0.02,0.9,-0.25,0.1,,0.7
previous_p_positive,0.25,0.5,30,31,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3372.0,2171.0476190476197,-0.1,0.97,-0.25,0.1,,0.7
previous_negative,-0.1,0.0,255,264,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.0833333333333333,0.4285714285714285,0.3452380952380952,0.3452380952380952,3620.75,2451.285714285714,-0.02,0.9,,0.1,0.25,0.7
fresh_positive,0.7,0.85,299,380,0.5555555555555556,0.2,-0.35555555555555557,0.35555555555555557,0.4444444444444444,0.8,0.3555555555555556,0.3555555555555556,2192.6111111111118,938.06,-0.02,0.995,-0.25,0.0,0.75,
fresh_positive,0.7,0.85,515,596,0.5555555555555556,0.2,-0.35555555555555557,0.35555555555555557,0.4444444444444444,0.8,0.3555555555555556,0.3555555555555556,2193.5,1018.88,0.0,0.97,-0.25,0.0,0.75,
previous_positive,0.0,0.1,299,302,0.5555555555555556,0.2,-0.35555555555555557,0.35555555555555557,0.4444444444444444,0.78,0.3355555555555556,0.3355555555555556,2192.6111111111118,1341.88,-0.02,0.995,-0.25,,0.75,0.7
fresh_p_positive,0.9,0.97,10,37,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3345.909090909091,2420.9444444444443,-0.1,,-0.1,0.0,0.5,0.7
fresh_p_positive,0.9,0.97,245,272,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3353.6363636363635,2407.6111111111118,-0.02,,-0.25,0.0,0.75,0.7
fresh_p_positive,0.9,0.97,9,36,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3364.3636363636365,2614.1111111111118,-0.1,,-0.1,0.0,0.25,0.7
fresh_positive,0.7,0.85,27,108,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3369.7272727272725,2233.777777777778,-0.1,0.97,-0.25,0.0,0.25,
previous_negative,-0.25,-0.1,27,36,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3369.7272727272725,2614.1111111111118,-0.1,0.97,,0.0,0.25,0.7
fresh_p_positive,0.9,0.97,81,108,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3474.0,2233.777777777778,-0.1,,-0.25,0.0,0.25,0.85
fresh_positive,0.7,0.85,486,567,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3491.7272727272725,2646.3888888888887,0.0,0.9,-0.25,0.0,0.25,
